network=transformer_official_same_source
source_ref=src/nns/transformer.cpp
mode=stage_level
input_blocks=8
scheduled_blocks=66
num_states=131
best_sub_batch=128
sct_solver=ortools-scip
met_solver=ortools-scip
compute_latency=0.041845
compute_energy=0.023764
memory_latency=0.250233
memory_energy=0.035703
latency=0.250233
energy=0.059467
edp=0.014881

states
  idx=0 name=S0 category=warmup active_pe=1 assigned_sub_batches=1 active_blocks=[0]
  idx=1 name=S1 category=warmup active_pe=2 assigned_sub_batches=0 active_blocks=[0, 1]
  idx=2 name=S2 category=warmup active_pe=3 assigned_sub_batches=0 active_blocks=[0, 1, 2]
  idx=3 name=S3 category=warmup active_pe=4 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3]
  idx=80 name=S80 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[15, 16, 17, 18, '...', 63, 64, 65]
  idx=81 name=S81 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[16, 17, 18, 19, '...', 63, 64, 65]
  idx=82 name=S82 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[17, 18, 19, 20, '...', 63, 64, 65]
  idx=83 name=S83 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[18, 19, 20, 21, '...', 63, 64, 65]
  idx=84 name=S84 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[19, 20, 21, 22, '...', 63, 64, 65]
  idx=85 name=S85 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[20, 21, 22, 23, '...', 63, 64, 65]
  idx=86 name=S86 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[21, 22, 23, 24, '...', 63, 64, 65]
  idx=87 name=S87 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[22, 23, 24, 25, '...', 63, 64, 65]
  idx=88 name=S88 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[23, 24, 25, 26, '...', 63, 64, 65]
  idx=89 name=S89 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[24, 25, 26, 27, '...', 63, 64, 65]
  idx=90 name=S90 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[25, 26, 27, 28, '...', 63, 64, 65]
  idx=91 name=S91 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[26, 27, 28, 29, '...', 63, 64, 65]
  idx=92 name=S92 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[27, 28, 29, 30, '...', 63, 64, 65]
  idx=93 name=S93 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[28, 29, 30, 31, '...', 63, 64, 65]
  idx=94 name=S94 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[29, 30, 31, 32, '...', 63, 64, 65]
  idx=95 name=S95 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[30, 31, 32, 33, '...', 63, 64, 65]
  idx=96 name=S96 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[31, 32, 33, 34, '...', 63, 64, 65]
  idx=97 name=S97 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[32, 33, 34, 35, '...', 63, 64, 65]
  idx=98 name=S98 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[33, 34, 35, 36, '...', 63, 64, 65]
  idx=99 name=S99 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[34, 35, 36, 37, '...', 63, 64, 65]
  idx=100 name=S100 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[35, 36, 37, 38, '...', 63, 64, 65]
  idx=101 name=S101 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[36, 37, 38, 39, '...', 63, 64, 65]
  idx=102 name=S102 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[37, 38, 39, 40, '...', 63, 64, 65]
  idx=103 name=S103 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[38, 39, 40, 41, '...', 63, 64, 65]
  idx=104 name=S104 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[39, 40, 41, 42, '...', 63, 64, 65]
  idx=105 name=S105 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[40, 41, 42, 43, '...', 63, 64, 65]
  idx=106 name=S106 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[41, 42, 43, 44, '...', 63, 64, 65]
  idx=107 name=S107 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[42, 43, 44, 45, '...', 63, 64, 65]
  idx=108 name=S108 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[43, 44, 45, 46, '...', 63, 64, 65]
  idx=109 name=S109 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[44, 45, 46, 47, '...', 63, 64, 65]
  idx=110 name=S110 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[45, 46, 47, 48, '...', 63, 64, 65]
  idx=111 name=S111 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[46, 47, 48, 49, '...', 63, 64, 65]
  idx=112 name=S112 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[47, 48, 49, 50, '...', 63, 64, 65]
  idx=113 name=S113 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[48, 49, 50, 51, '...', 63, 64, 65]
  idx=114 name=S114 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[49, 50, 51, 52, '...', 63, 64, 65]
  idx=115 name=S115 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[50, 51, 52, 53, '...', 63, 64, 65]
  idx=116 name=S116 category=drain active_pe=15 assigned_sub_batches=0 active_blocks=[51, 52, 53, 54, '...', 63, 64, 65]
  idx=117 name=S117 category=drain active_pe=14 assigned_sub_batches=0 active_blocks=[52, 53, 54, 55, '...', 63, 64, 65]
  idx=118 name=S118 category=drain active_pe=13 assigned_sub_batches=0 active_blocks=[53, 54, 55, 56, '...', 63, 64, 65]
  idx=119 name=S119 category=drain active_pe=12 assigned_sub_batches=0 active_blocks=[54, 55, 56, 57, '...', 63, 64, 65]
  idx=120 name=S120 category=drain active_pe=11 assigned_sub_batches=0 active_blocks=[55, 56, 57, 58, '...', 63, 64, 65]
  idx=121 name=S121 category=drain active_pe=10 assigned_sub_batches=0 active_blocks=[56, 57, 58, 59, 60, 61, 62, 63, 64, 65]
  idx=122 name=S122 category=drain active_pe=9 assigned_sub_batches=0 active_blocks=[57, 58, 59, 60, 61, 62, 63, 64, 65]
  idx=123 name=S123 category=drain active_pe=8 assigned_sub_batches=0 active_blocks=[58, 59, 60, 61, 62, 63, 64, 65]
  idx=124 name=S124 category=drain active_pe=7 assigned_sub_batches=0 active_blocks=[59, 60, 61, 62, 63, 64, 65]
  idx=125 name=S125 category=drain active_pe=6 assigned_sub_batches=0 active_blocks=[60, 61, 62, 63, 64, 65]
  idx=126 name=S126 category=drain active_pe=5 assigned_sub_batches=0 active_blocks=[61, 62, 63, 64, 65]
  idx=127 name=S127 category=drain active_pe=4 assigned_sub_batches=0 active_blocks=[62, 63, 64, 65]
  idx=128 name=S128 category=drain active_pe=3 assigned_sub_batches=0 active_blocks=[63, 64, 65]
  idx=129 name=S129 category=drain active_pe=2 assigned_sub_batches=0 active_blocks=[64, 65]
  idx=130 name=S130 category=drain active_pe=1 assigned_sub_batches=0 active_blocks=[65]

ScT_cumulative(rows=state, cols=block)
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
